musicname,musicurl
站着等你三千年原唱完整版 ,https://www.9ku.com/play/1387300.htm
你像三月桃花开 ,https://www.9ku.com/play/1010129.htm
布谷鸟和仙鹤 ,https://www.9ku.com/play/1374148.htm
青山一别 ,https://www.9ku.com/play/1010064.htm
洪泽恋曲 ,https://www.9ku.com/play/1075700.htm
卓玛神庙 ,https://www.9ku.com/play/1075701.htm
点歌人 ,https://www.9ku.com/play/1010235.htm
可可托海牧羊人 ,https://www.9ku.com/play/1012139.htm
白月光与朱砂痣 ,https://www.9ku.com/play/1014430.htm
美若天仙 ,https://www.9ku.com/play/1171086.htm
年轻女孩 ,https://www.9ku.com/play/1171088.htm
点歌的人DJ ,https://www.9ku.com/play/1010115.htm
苴却砚 ,https://www.9ku.com/play/1180570.htm
拉萨羌沙 ,https://www.9ku.com/play/1171085.htm
大风吹 ,https://www.9ku.com/play/1109450.htm
可可托海的牧羊人原唱完整版 ,https://www.9ku.com/play/1387274.htm
可可托海的牧羊人原唱完整版 ,https://www.9ku.com/play/1387274.htm
可可托海的牧羊人原唱完整版 ,https://www.9ku.com/play/1387274.htm
听我说谢谢你 ,https://www.9ku.com/play/1010018.htm
少年美 ,https://www.9ku.com/play/1142468.htm
游牧时光 ,https://www.9ku.com/play/1020719.htm
问佛 ,https://www.9ku.com/play/1005909.htm
晚风心里吹 ,https://www.9ku.com/play/1386193.htm
tianbian ,https://www.9ku.com/play/1012368.htm
听闻远方有你 (DJR7版) ,https://www.9ku.com/play/1378151.htm
千恩万谢 ,https://www.9ku.com/play/1012025.htm
手心里的温柔 ,https://www.9ku.com/play/1112318.htm
予你 ,https://www.9ku.com/play/1235525.htm
你莫走 ,https://www.9ku.com/play/1010005.htm
云朵上的梦 ,https://www.9ku.com/play/1128728.htm
烟雨人间 ,https://www.9ku.com/play/1219195.htm
剑魂 (鱼多余DJ版) ,https://www.9ku.com/play/1387838.htm
燕无歇 ,https://www.9ku.com/play/1010944.htm
可可拓海的牧羊人 ,https://www.9ku.com/play/1014310.htm
送親 ,https://www.9ku.com/play/1015119.htm
虞兮叹 ,https://www.9ku.com/play/1009464.htm
Free Loop ,https://www.9ku.com/play/1052452.htm
暂别离 ,https://www.9ku.com/play/1377981.htm
还没有爱够 (DJ默涵版) ,https://www.9ku.com/play/1387805.htm
妹妹你是我的人 ,https://www.9ku.com/play/1010085.htm
可可西里牧羊人 ,https://www.9ku.com/play/1012414.htm
阿克祥巴 ,https://www.9ku.com/play/1171083.htm
孤勇者 ,https://www.9ku.com/play/1377591.htm
陨落 ,https://www.9ku.com/play/1171238.htm
送亲dj ,https://www.9ku.com/play/1012382.htm
半生雪 ,https://www.9ku.com/play/1209740.htm
远方有信仰 ,https://www.9ku.com/play/1010275.htm
天边 (Live) ,https://www.9ku.com/play/1066636.htm
心上的罗加 ,https://www.9ku.com/play/1010047.htm
你的万水千山dj ,https://www.9ku.com/play/1012199.htm
浪子心 ,https://www.9ku.com/play/1012458.htm
何日是归途 ,https://www.9ku.com/play/1014191.htm
送亲王琪 ,https://www.9ku.com/play/1015871.htm
可可拖海的牧羊人 ,https://www.9ku.com/play/1013016.htm
情定那拉提 ,https://www.9ku.com/play/1052382.htm
孤勇者 ,https://www.9ku.com/play/1377604.htm
阿爸阿妈原唱完整版 ,https://www.9ku.com/play/1387312.htm
阿爸阿妈原唱完整版 ,https://www.9ku.com/play/1387312.htm
阿爸阿妈原唱完整版 ,https://www.9ku.com/play/1387312.htm
五十年以后原唱完整版 ,https://www.9ku.com/play/1387344.htm
五十年以后原唱完整版 ,https://www.9ku.com/play/1387344.htm
点歌得人 ,https://www.9ku.com/play/1012369.htm
闲庭絮 ,https://www.9ku.com/play/1010468.htm
天边云飞 ,https://www.9ku.com/play/1013849.htm
站着等你 ,https://www.9ku.com/play/1010405.htm
海来阿木的歌 ,https://www.9ku.com/play/1014619.htm
我爱你塞北的雪 ,https://www.9ku.com/play/1214873.htm
红颜知己原唱完整版 ,https://www.9ku.com/play/1387279.htm
红颜知己原唱完整版 ,https://www.9ku.com/play/1387279.htm
点歌的人广场舞 ,https://www.9ku.com/play/1010726.htm
万爱 ,https://www.9ku.com/play/1014776.htm
就把这首歌送给失意的你 ,https://www.9ku.com/play/1013964.htm
我和我的祖国 ,https://www.9ku.com/play/1219039.htm
我的眼泪你的战利品 ,https://www.9ku.com/play/1387659.htm
天外来物 ,https://www.9ku.com/play/1007258.htm
声声慢 ,https://www.9ku.com/play/1093440.htm
拉手手亲口口 ,https://www.9ku.com/play/1190006.htm
家乡的红枣树 ,https://www.9ku.com/play/1012201.htm
往事只能回味 ,https://www.9ku.com/play/1023351.htm
一个多情又无情的人 ,https://www.9ku.com/play/1171376.htm
入了我的心丢了我的魂 (DJR7版) ,https://www.9ku.com/play/1378159.htm
思念一瞬间 ,https://www.9ku.com/play/1097034.htm
牧羊人可可托海原唱完整版 ,https://www.9ku.com/play/1387341.htm
哪里都是你 ,https://www.9ku.com/play/1051270.htm
人生如歌 ,https://www.9ku.com/play/1185317.htm
你从未离去 (完整版) ,https://www.9ku.com/play/1379804.htm
剑魂 (鱼多余版) ,https://www.9ku.com/play/1384130.htm
可可托海的牧羊人伴奏 ,https://www.9ku.com/play/1079639.htm
半壶沙 ,https://www.9ku.com/play/1185323.htm
清水河往事 ,https://www.9ku.com/play/1093687.htm
送亲歌原唱完整版 ,https://www.9ku.com/play/1387304.htm
SONGQIN ,https://www.9ku.com/play/1010176.htm
可可托 ,https://www.9ku.com/play/1013368.htm
浮生记 ,https://www.9ku.com/play/1235553.htm
起风了 ,https://www.9ku.com/play/1009021.htm
想你的时候只能问月亮  ,https://www.9ku.com/play/1191830.htm
可可托海的 ,https://www.9ku.com/play/1013680.htm
云飞天边 ,https://www.9ku.com/play/1129885.htm
你的大眼睛 ,https://www.9ku.com/play/1015525.htm
shongqin ,https://www.9ku.com/play/1015645.htm
后来的我们 ,https://www.9ku.com/play/1020889.htm
沦陷 ,https://www.9ku.com/play/1093787.htm
晚风 ,https://www.9ku.com/play/1093436.htm
四海情歌 ,https://www.9ku.com/play/1013479.htm
心若莲花 ,https://www.9ku.com/play/1128691.htm
青藏高原 ,https://www.9ku.com/play/1190009.htm
云水禅心-古琴纯音乐 ,https://www.9ku.com/play/1218436.htm
剑魂 ,https://www.9ku.com/play/1234981.htm
离别草原 ,https://www.9ku.com/play/1010797.htm
此生过半DJ ,https://www.9ku.com/play/1182644.htm
下辈子不一定还能遇见你 ,https://www.9ku.com/play/1214954.htm
笑红尘 ,https://www.9ku.com/play/1384471.htm
你永远不懂我 ,https://www.9ku.com/play/1012190.htm
我和我的祖国 ,https://www.9ku.com/play/1021174.htm
又见送情郎 ,https://www.9ku.com/play/1102135.htm
阿妹的酒 ,https://www.9ku.com/play/1128947.htm
喀什葛尔的胡杨 ,https://www.9ku.com/play/1011124.htm
万爱千恩 ,https://www.9ku.com/play/1097039.htm
就是现在 ,https://www.9ku.com/play/1131695.htm
天边歌曲原唱完整版 ,https://www.9ku.com/play/1387364.htm
天地有大美 ,https://www.9ku.com/play/1208552.htm
停在梧桐叶 ,https://www.9ku.com/play/1370555.htm
梦中的妈妈原唱完整版 ,https://www.9ku.com/play/1387346.htm
梦中的妈妈原唱完整版 ,https://www.9ku.com/play/1387346.htm
梦中的妈妈原唱完整版 ,https://www.9ku.com/play/1387346.htm
biezhiji ,https://www.9ku.com/play/1010346.htm
可可西海的牧羊人 ,https://www.9ku.com/play/1093738.htm
忘了没有 ,https://www.9ku.com/play/1014150.htm
孤独的王 ,https://www.9ku.com/play/1142347.htm
古琴禪修 ,https://www.9ku.com/play/1218417.htm
西海 ,https://www.9ku.com/play/1010336.htm
关山酒 ,https://www.9ku.com/play/1373419.htm
蝴蝶夫人 ,https://www.9ku.com/play/1390294.htm
我还在老地方等你 ,https://www.9ku.com/play/1189177.htm
马兰花 ,https://www.9ku.com/play/1168073.htm
草原上的月亮 ,https://www.9ku.com/play/1015884.htm
千恩万爱 ,https://www.9ku.com/play/1151052.htm
我怕来者不是你 ,https://www.9ku.com/play/1218867.htm
烟花叹 ,https://www.9ku.com/play/1142632.htm
奈何岁月 ,https://www.9ku.com/play/1015022.htm
漂洋过海来看你 ,https://www.9ku.com/play/1016980.htm
我把全部的爱都给了你 (DJ默涵版) ,https://www.9ku.com/play/1219144.htm
羌笛 ,https://www.9ku.com/play/1113652.htm
思念 ,https://www.9ku.com/play/1143623.htm
sq ,https://www.9ku.com/play/1014623.htm
为你放弃全世界 ,https://www.9ku.com/play/1115310.htm
热爱105°C的你 ,https://www.9ku.com/play/1209716.htm
南城花落 ,https://www.9ku.com/play/1093711.htm
万爱千恩原唱完整版 ,https://www.9ku.com/play/1387310.htm
你说的万水千山 ,https://www.9ku.com/play/1128358.htm
守望相助 ,https://www.9ku.com/play/1128966.htm
有生之恋 ,https://www.9ku.com/play/1234730.htm
不在人间 ,https://www.9ku.com/play/1128317.htm
错位时空 ,https://www.9ku.com/play/1015747.htm
可可托海 ,https://www.9ku.com/play/1011694.htm
人间道 ,https://www.9ku.com/play/1207744.htm
姐姐真漂亮 ,https://www.9ku.com/play/1008343.htm
不过人生 ,https://www.9ku.com/play/1014194.htm
大鱼 ,https://www.9ku.com/play/1053669.htm
昭华情 ,https://www.9ku.com/play/1370523.htm
不该用情 ,https://www.9ku.com/play/1373408.htm
你爱我坏 (DJR7版) ,https://www.9ku.com/play/1378147.htm
